id,nombre,fecha_inicio,fecha_fin,siglas_lugar,pais,organiza,fiscaliza
0,CAMPEONATO METROPOLITANO U18,01/07/2023,02/07/2023,FAMPOJULIO,ARG,FAM,FAM
0,TORNEO RUBEN CODERCH,04/03/2023,04/03/2023,FAMCEN0403,ARG,FAM,FAM
0,JUAR REGION CONURBANO NORTE 2023,28/06/2023,28/06/2023,PO28062023,ARG,JUAR,FAM
0,TORNEO RICARDO BONFIGLIOLI,25/11/2023,25/11/2023,FAMPO2511,ARG,FAM,FAM
0,TORNEO PRIMAVERA PORTEÑA,23/09/2023,23/09/2023,FAMCEN230923,ARG,ARG,ARG
0,CAMPEONATO METROPOLITANO U20,18/03/2023,19/03/2023,FAMCENARDMAR,ARG,FAM,FAM
0,TORNEO OTOÑO PORTEÑO,29/04/2023,29/04/2023,FAMCEN2904,ARG,FAM,FAM
0,TORNEO MALVINAS ARGENTINAS,01/04/2023,01/04/2023,FAMCEN14,ARG,FAM,FAM
0,TORNEO JULIO ANTISTA,03/06/2023,03/06/2023,FAMPO36,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO U1 4,11/11/2023,11/11/2023,FAMPOU1423,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO DE MAYORES,22/04/2023,23/04/2023,FAMCEN2223,ARG,FAM,FAM
0,JUEGOS UFEDEM 2023,02/09/2023,02/09/2023,FAMCEN120823,ARG,FAM,FAM
0,TORNEO GERARDO BONNHOFF,06/05/2023,06/05/2023,FAMCENAR0605,ARG,FAM,FAM
0,TORNEO DIA DEL MAESTRO,16/09/2023,16/09/2023,FAMCEN160923,ARG,FAM,FAM
0,TORNEO JUAR REGION CABA,17/06/2023,17/06/2023,POCABA2023,ARG,FAM,FAM
0,TORNEO GERARDO BONHOFF,28/10/2023,28/10/2023,PO28102023,ARG,FAM,FAM
0,JUEGOS PORTEÑOS,19/08/2023,19/08/2023,CABAPO2023,ARG,CABA,FAM
0,CAMPEONATO METROPOLITANO U23,26/08/2023,27/08/2023,FAMPO0823,ARG,FAM,FAM
0,TORNEO JUAN CARLOS “POLDO” KERWITZ (ACTUALIZADO AL 17/04),15/04/2023,15/04/2023,FAMCEN1504,ARG,FAM,FAM
0,TORNEO INVIERNO PORTEÑO,05/08/2023,05/08/2023,POFAM0508,ARG,FAM,FAM
0,TORNEO DÍA DE LA MUJER,11/03/2023,11/03/2023,FAMCEN1103,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO U16,07/10/2023,08/10/2023,FAMCENU16,ARG,FAM,FAM
0,TORNEO JOSE DE SAN MARTÍN,12/08/2023,12/08/2023,FAMCEN120823,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO U18,01/07/2023,02/07/2023,FAMPOJULIO,ARG,FAM,FAM
0,TORNEO RUBEN CODERCH,04/03/2023,04/03/2023,FAMCEN0403,ARG,FAM,FAM
0,JUAR REGION CONURBANO NORTE 2023,28/06/2023,28/06/2023,PO28062023,ARG,JUAR,FAM
0,TORNEO RICARDO BONFIGLIOLI,25/11/2023,25/11/2023,FAMPO2511,ARG,FAM,FAM
0,TORNEO PRIMAVERA PORTEÑA,23/09/2023,23/09/2023,FAMCEN230923,ARG,ARG,ARG
0,CAMPEONATO METROPOLITANO U20,18/03/2023,19/03/2023,FAMCENARDMAR,ARG,FAM,FAM
0,TORNEO OTOÑO PORTEÑO,29/04/2023,29/04/2023,FAMCEN2904,ARG,FAM,FAM
0,TORNEO MALVINAS ARGENTINAS,01/04/2023,01/04/2023,FAMCEN14,ARG,FAM,FAM
0,TORNEO JULIO ANTISTA,03/06/2023,03/06/2023,FAMPO36,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO U1 4,11/11/2023,11/11/2023,FAMPOU1423,ARG,FAM,FAM
0,CAMPEONATO METROPOLITANO DE MAYORES,22/04/2023,23/04/2023,FAMCEN2223,ARG,FAM,FAM
0,JUEGOS UFEDEM 2023,02/09/2023,02/09/2023,FAMCEN120823,ARG,FAM,FAM
0,TORNEO GERARDO BONNHOFF,06/05/2023,06/05/2023,FAMCENAR0605,ARG,FAM,FAM
0,TORNEO DIA DEL MAESTRO,16/09/2023,16/09/2023,FAMCEN160923,ARG,FAM,FAM
0,TORNEO JUAR REGION CABA,17/06/2023,17/06/2023,POCABA2023,ARG,FAM,FAM
0,TORNEO GERARDO BONHOFF,28/10/2023,28/10/2023,PO28102023,ARG,FAM,FAM
0,JUEGOS PORTEÑOS,19/08/2023,19/08/2023,CABAPO2023,ARG,CABA,FAM
0,CAMPEONATO METROPOLITANO U23,26/08/2023,27/08/2023,FAMPO0823,ARG,FAM,FAM
0,TORNEO JUAN CARLOS “POLDO” KERWITZ (ACTUALIZADO AL 17/04),15/04/2023,15/04/2023,FAMCEN1504,ARG,FAM,FAM
